Publication_Number,Abstract
US-6835866-B1,"The present invention relates to compositions and methods for reducing cholesterolemia and its effects. More specifically, the invention is directed, in one embodiment, to methods for screening for compounds that affect cholesterol levels generally, and in particular, that affect the absorption of cholesterol. The invention also is directed to methods of screening for compounds that increase bile acid synthesis. In so doing, the inventors describe useful transgenic cells and animals which lack one or both alleles of the LXRα gene. Also provided are therapeutic methods designed to reduce cholesterol levels in suitable subjects. The reduction may be effected by decreasing cholesterol absorption, increasing bile acid synthesis, or combinations thereof. Particularly useful in decreasing cholesterol absorption are RXR agonists, for example, rexinoid compounds. Therapeutic intervention in cholesterol biosynthesis and diet are additional adjunct therapies. In addition, the present invention relates to candidate compounds that modulate the expression of ABC-1 in a cell that expresses RXR. Methods of identifying and making a modulator of ABC-1 are disclosed."
US-7104319-B2,An in situ process for treating a diatomite formation is provided. The process may include providing heat from one or more heaters to at least a portion of the formation. The heat may be allowed to transfer from the one or more heaters to a part of the formation such that heat from the one or more heat sources pyrolyzes at least some hydrocarbons within the part. Hydrocarbons may be produced from the formation.
US-6677036-B2,"A method for producing a magnetic recording medium comprising: dispersing at least a binder and a ferromagnetic hexagonal ferrite powder to prepare a magnetic coating; and applying the magnetic coating to provide at least one magnetic layer, wherein the binder is at least one of: (a) a binder comprising 0.2 to 0.7 meq/g of at least one polar group selected from —SO 3 M, —OSO 3 M, —PO(OM) 2 , —OPO(OM) 2  and —COOM wherein M represents a hydrogen atom, an alkali metal or ammonium; and (b) a binder comprising 0.5 to 5 meq/g of at least one polar group selected from —CONR 1 R 2 , —NR 1 R 2  and —N + R 1 R 2 R 3  wherein R 1 , R 2  and R 3  each independently represents a hydrogen atom or an alkyl group, and the ferromagnetic hexagonal ferrite powder has an average tabular diameter of from 10 to 40 nm and a water content of from 0.3 to 3% by weight."
US-6560188-B1,"A compound optical unit includes a housing mounted to an optical pickup. A semiconductor laser, a light receiving member, and a composite optical member are integrally fixed to the housing. The semiconductor laser has a laser diode that emits a laser beam for a DVD. The composite optical member is provided with an incidence surface that admits light emitted from the semiconductor laser, an emission surface emits the light, a diffraction grating provided on the emission surface diffracts light reflected by an optical disk D, a reflecting surface that reflects light diffracted by the diffraction grating, and another emission surface that emits light reflected by the reflecting surface toward the light receiving member."
US-7242976-B2,"According to the present invention, a code selection device wherein, an unused spreading code, or one of a plurality of unused spreading codes, is selected for allocation to a new communication channel, comprises: a dummy spreading signal generator for despreading dummy original data by using the unused spreading code or codes available for employment, and generating dummy spreading signals; a superimposing unit for superimposing the dummy spreading signals and received signals and forming pseudo superimposed signals; a despreading unit for despreading the pseudo superimposed signals by using the unused spreading codes related to the corresponding pseudo superimposed signals, and the spreading codes already used for communication channels that previously have been established; and a spreading code selector for selecting an unused spreading code based on data for the communication channels reproduced for the pseudo superimposed signals and the reproduced dummy original data. With this configuration, a method can be provided whereby, in accordance with the usage condition of a network, a code sequence having a preferable correlation property can be selected, from among a number of code sequences that are generated, and allocated to a communication channel."
US-7314984-B1,"The present invention is in the field of soybean variety S06-MT116260 breeding and development. The present invention particularly relates to the soybean variety S06-MT116260 and its progeny, and methods of making S06-MT116260."
US-6696183-B2,"In the metallic thin film magnetic recording medium having the magnetic layer formed on a main face of a nonmagnetic supporting body according to vacuum thin film formation technology, the thickness of the nonmagnetic supporting body is 5 μm or less, the thickness of the magnetic layer is 20 nm-100 nm and a lining layer 20 nm-200 am in thickness is formed of metal, non-metal or alloy of these materials or oxide compound thereof according to vacuum thin film formation technology. Light transmittance is 5% or less and permeating water vapor amount is 5 g/m 2 ·day or less. The lining layer and the back layer are formed successively on a main face opposite to the magnetic layer formation face. The relative roughness factor (Ra) of the topmost surface of the lining layer formation face is 2-15 nm."
US-6720564-B1,"A method of detecting fingerprints on a substrate includes ion beam mixing materials associated with the fingerprint into the substrate to create an ion beam mixed fingerprint; and analyzing the ion beam mixed fingerprint. Analyzing the ion beam mixed fingerprint may include optical imaging, scanning with a scanning electron microscope, or performing a surface analysis technique on the ion beam mixed fingerprint to identify the chemical composition of at least one material in at least one of the fingerprint and the substrate. In one aspect, the surface analysis technique includes at least one of Auger Spectroscopy, Secondary Ion Mass Spectroscopy (SIMS), Secondary Electron Microscopy (SEM), Particle Induced X-ray Emission (PIXE), and Energy Dispersive X-ray Spectroscopy (EDS). The analyzing may further include mapping the chemical composition of the at least one material in the at least one of the fingerprint and the substrate to produce a computer generated image of the fingerprint. The mass (ion species), fluence, and energy of the incident ion beam for various substrates are provided."
US-6522040-B2,"A palm top manual operated generator includes a housing, a power generating unit, a driving set, a handle and a spring. The housing has a cambered rack which penetrates into the housing and is engaged with the first speed change gear of the driving set. After changing speed by a plurality of speed change gears of the driving set, power is unidirectionally transferred to a gear of the power generating unit through a unidirectional speed change gear. A plurality of magnets are circularly arranged within the rotary casing. When the handle is held and pressed continuously, the cambered rack drives the driving set. Then rotary speed is increased to drive the rotary casing of the power generating unit to rotate with a high speed. Thereby, electric power is generated due to magnetic excitation; the electric power is outputted from a receptacle through a regulating circuit and a power storage circuit."
US-6696942-B2,"An emergency warning network including a base station for broadcasting a warning signal and a first, earth-orbiting satellite for receiving the warning signal and rebroadcasting such to extend the range of communications of the base station. A first substation receives the warning signal and broadcasts a first forwarding signal in response thereto to a first portable receiver. A second substation also receives the warning signal and broadcasts a second forwarding signal in response thereto via a second, earth-orbiting satellite to a first branch station. The first branch station broadcasts a third forwarding signal in response to the second forwarding signal to a second portable receiver. A second branch station also receives the second forwarding signal via the second, earth-orbiting satellite and broadcasts a fourth forwarding signal to a third portable receiver."
US-6736982-B2,"A micromachined vertical vibrating gyroscope consists of three single crystal silicon assemblies: an outer single crystal silicon assembly, an intermediate single crystal silicon assembly, and an inner single crystal silicon assembly. The outer assembly includes a plurality of arc-shaped anchors arranged in a circle and extending from a single crystal silicon substrate coated with an insulating annulus thereon. The intermediate assembly is a suspended wheel concentric with the arc-shaped anchors. The inner assembly is a suspended hub concentric with the circle formed by the anchors and having no axle at its center. The three assemblies are connected to each other through several flexures. The intermediate suspended wheel is driven into rotational vibration by lateral comb capacitors. Input angular rates are measured by two vertical capacitors. The gyroscope is fabricated utilizing a bipolar-compatible process comprising steps of buried layer diffusion, selective epitaxial growth and lateral overgrowth, deep reactive ion etching, and porous silicon processing."
US-6781034-B2,"The present invention relates to the finding that the accumulation of flavodoxin within chloroplasts of plant cells provides enhanced resistance to sources of environmental stress, including ultraviolet AB radiation, extreme temperatures, infection and/or high doses of irradiation. Nucleic acids encoding flavodoxin fused to a chloroplast targeting peptide, cells, plants and methods pertaining thereto are described."
US-6931541-B1,"There is provided an information processing method/apparatus for demultiplexing object streams from a datastream which includes a plurality of object streams each having predetermined information, and decoding, synthesizing, and outputting the object streams, wherein the object streams are authenticated, and whether or not the playback control of a predetermined object stream is done before or after decoding of the predetermined object stream is determined in accordance with the method and result of authentication."
US-7127554-B2,"Data are written to plural parallel data tracks of a data storage medium by arranging a data stream into plural streams of data sets. Each stream of data sets is allocated to a corresponding respective group of parallel data tracks. A plurality of the data sets are written to the plural data track groups, such that in each data stream, each data set commences at substantially the same position along a length of the linear data storage medium, as a data set of another of the streams."
US-6500473-B1,"A composition comprising coloring substance bodies that are at least partially coated with beet pectin, chicory pectin and/or Jerusalem artichoke pectin or other pectin types having a high degree of acetylation. The composition which may be water dispersible is useful for preparation of health improving products and/or coloring products for use in the coloring of edible products including food products and nutraceuticals, and for coloring of pharmaceutical products."
US-6521288-B2,"The invention provides a method for incorporating biocides into wood or a wood product. The method comprises incorporating an additive into a nanoparticle, applying the nanoparticle to wood or a wood particle and applying sufficient pressure to force the nanoparticle to penetrate the wood or wood particle."
US-7095314-B2,"A light-to-speech transforming circuit is coupled to an indicator light of a legacy security system. The transforming circuit detects flashes of the indicator light, interprets sequences of the flashes, and correlates the sequences to specific events monitored by the security system. The events are then correlated to speech segment data of various audible announcements. The segment data is used to drive a speaker, so that the user can hear the announcements. The transforming circuit can include a learning feature, whereby it prompts the user to cause specific events of the security system, such as zone violations, and then prompts the user to speak the announcements corresponding to the events. The transforming circuit records the flashing sequences and the announcements corresponding to the sequences, and delivers the announcements when the corresponding events occur during operation of the security system."
US-7183905-B2,"A tool for sensor management and fault visualization in machine condition monitoring. The method and system are able to monitor a plurality of sensors at one time. The sensors may be used in a power plant system monitoring system. The method and system may display a fault status for each sensor in the plurality of sensors in a single display, wherein the fault status for each sensor is displayed over time. The method and system also provide a mechanism that permits a user to examine details of each sensor in the plurality of sensors at any given time. In addition, the method and system are capable of categorizing each fault in the fault status using one or more properties or categorizing criteria. The method and system also permit sensors to be tested such that different operating models may be examined by utilizing different sensors."
US-6501172-B1,"In a powder module ( 111 ), a free-wheeling diode ( 1 A), an IGBH ( 1 B), and a capacitor ( 20 ) for smoothing direct current are disposed directly on a surface ( 2 BS) of a conductive heat sink ( 2 B) with through holes ( 2 BH). The rear electrodes of the free-wheeling diode ( 1 A), the IGBT ( 1 B), and the capacitor ( 20 ) are bonded to the heat sink ( 2 B) for example with solder, whereby the diode ( 1 A), the IGBT ( 1 B), and the capacitor ( 20 ) are electrically connected with the heat sink ( 2 B). The front electrodes of the diodes ( 1 A), the IGBT ( 1 B), and the capacitor ( 20 ) are connected with each other for example by wires ( 7 ). In the heat sink ( 2 B), a cooling medium flows through the through holes ( 2 BH). Such a configuration allows miniaturization of the power module and improves the cooling performance and reliability of the power module."
US-6841068-B1,"A domestic nanofiltration membrane based water purifier without a storage tank. The water purifier according to the present invention uses a nanofiltration membrane filter as a main filtering section and does not have a storage tank for containment of purified water. Although conventional reverse osmosis membrane based water purification systems provide good quality water, they have problems in that installation of the storage tanks due to insufficient flow rate results in the increased volumes of water purifiers, and at the same time, secondary pollution may be caused by microorganism propagation upon prolonged storage. In this regard, the present invention provides a domestic nanofiltration membrane based water purifier without a storage tank, in which a nanofiltration membrane filter with a pore size of approximately 0.1 to 10 nm is used as a main filtering section."
US-6911704-B2,A memory cell array comprises a two dimensional array of memory cells fabricated on a semiconductor substrate. The memory cells are arranged in a plurality of rows and a plurality columns. Each column of memory cells comprising a plurality of alternating channel regions and source/drain regions. A conductive interconnect is positioned above each source/drain region and coupled to only one other source/drain region. The one other source/drain region is in a second column that is adjacent to the column. The conductive interconnects are positioned such that every other conductive interconnect connects to the adjacent column to a right side of the column and every other conductive interconnect connects to adjacent column to the left side of the column. A plurality of source/drain control lines extends between adjacent columns of memory cells and electrically couples to each conductive interconnect that couples between the adjacent columns.
US-6794297-B2,"To determine an optimum addition ratio of ethyl alcohol in the etching gas in a plasma etching unit, an ethyl alcohol addition ratio at which the isotropic etching rate of the etching mask is obtained, and on the basis of the obtained ethyl alcohol addition ratio, the optimum addition ratio is determined, by performing an etching process using an etching gas containing ethyl alcohol in the optimum addition ratio, the portions of the bottom antireflective coating which are not covered with the etching mask are removed. Thus, it is possible to provide a novel etching method capable of appropriately removing unnecessary portions of the bottom antireflective coating which are not covered by photoresist without causing much damage to the photoresist used as the etching mask."
US-6969444-B2,"Paper coating slips whose additives comprise addition polymers or copolymers containing N-vinylformamide in (co)polymerized form, and their use."
US-7075460-B2,"Methods for scaling (e.g., transcoding) data are described. A sequence of encoded data is accessed. The encoded data are organized according to an encoding scheme that was used to encode the data. A value for a scalable attribute is ascertained. The scalable attribute identifies how the encoded data are to be scaled. A reference to segments of encoded data associated with the scalable attribute is accessed. The reference is beyond the syntax of the encoding scheme. The reference is used to locate the segments in the sequence of encoded data. The segments are found without requiring knowledge by the device of the encoding scheme. A scaled version of the encoded data is created using the segments."
US-6775359-B1,"Method and apparatus for replying to an incoming E-mail message by a corresponding voice message response. The recipient reads, or listens to the incoming E-mail message and voice data, containing a recorded voice reply to the incoming E-mail message is then generated. An E-mail reply message which comprises the voice data is generated and sent to the originator of the incoming E-mail message, as an E-mail reply message. The incoming E-mail message may be attached to the generated voice data before sending it sent to the originator."
US-6636778-B2,"Data storage drives of an automated data storage library are allocated to received requests. A drive resource provider, upon receiving a request for a drive when all of the drives of the pool are allocated, holds any mount of a portable data storage cartridge relative to the request, releasing the hold when a drive is allocated. Spare drives are provided, outside of the pool. A spare drive may be allocated in response to the request, and a message is posted indicating use of the spare data storage drive. The posted message may comprise a notification that action may be taken to permanently transfer a spare data storage drive to the pool."
US-7097810-B2,"Techniques for the delivery of metered amounts of liquid material include the use of a pin, such as an optical fiber. A sample of the liquid material may be placed on the tip of the pin for delivery to a target area, such as a specific location on a microarray, in a contactless manner. Light transmitted through the pin may be detected to facilitate accurate measuring of the pin&#39;s position."
US-7164381-B2,"A target identifying apparatus identifies a target from a first signal distribution and includes a calculation section, a target signal identifying section, a subtraction section, and a correction section. The calculation section calculates a quadratic approximate expression in the first signal distribution. The target signal, identifying section identifies a signal contained in the quadratic approximate expression as a single target signal. The subtraction section subtracts a value of the quadratic approximate expression from a value of the first signal distribution to generate a second signal distribution. When the one of the beam angle and the frequency corresponding to a maximum value of the second signal distribution is in a range where the value of the quadratic approximate expression is subtracted or is in a vicinity of the range, the correction section corrects the second signal distribution based on the quadratic approximate expression."
US-7162583-B2,"According to one embodiment a computer system is disclosed. The computer system includes a central processing unit (CPU), a cache memory coupled to the CPU and a cache controller, coupled to the cache memory. The cache memory includes a plurality of compressible cache lines to store additional data. The cache controller reorders a cache line after each access to the cache line prior to the compression of the cache line into a compressed cache line."
US-6716470-B2,"Firm, flexible animal feed gel are prepared by a method comprises the steps of: 
     A. Forming a liquid animal feed at a temperature above ambient temperature; 
     B. Passing the liquid animal feed through a pipe cooled to a temperature below the temperature of the liquid animal feed of step (A) such that the feed solidifies to a stiff, flexible gel while in the pipe; and 
     C. Collecting the gel as the gel exits the pipe. 
     The pipe may be straight or coiled, and it may be cooled through the effect of a cooling jacket or container. The composition of the animal is feed is predominantly water containing at least one gelling agent and at least one source of protein, typically an animal-derived protein such as fish or poultry meal."
US-7128860-B2,"The invention relates to the production of composite insulators consisting of a shank in the form of a bar or a tube, which is provided with a covering and which comprises plate-like screens which are distanced from each other. The covering and the screens are made of an elastomer material with high insulating qualities. As a result, the number, distance, form and size of the screens can vary from insulator to insulator. According to the invention, at least one injection mould ( 10   a   , 10   b,    11   a   , 11   b   , 12   a   , 12   b   , 13   a   , 13   b ) for injecting a screen ( 2, 3, 4, 5, 19, 20, 21, 22 ) is arranged downstream from a device which is used to provide the shank ( 1 ) with a covering. The injection mould can be advanced in order to inject a screen upon the shank and opened in order to unmould said screen. An advancing device is also provided in order to displace ( 16 ) the shank ( 1 ) or the screen mould. Each time the shank ( 1 ) or the screen mould is displaced, the position of the latter with respect to the shank enables a subsequent screen to be injected."
US-7194520-B1,"The present invention is directed to a content player that allows a user to access media content through an information appliance. The content player is suitable for receiving media content from a network, then the media content may be transmitted to various information appliances. The information appliance is suitable for receiving the media content from the content player and conveying the media content. The information appliance, itself, may be capable of controlling the media content transmitted from the content player and received by the information appliance."
US-6999397-B2,"In a holographic digital data storage system, a light source generates a reference beam, a holographic optical element saves a plurality of interference patterns between the reference beam and a plurality of beams of specific sizes and a beam splitter splits each reproduced beam into a holographic signal beam and a holographic reference beam. A medium records an interference pattern between the holographic reference beam and the holographic signal beam and reflecting the holographic reference beam to generate a reflective information beam and, if only the holographic reference beam is illuminated, a displaying means displays a holographic reproduced beam for the holographic signal beam and detecting the reflective information beam."
US-6681430-B2,"A method and system for dynamically balancing a rotating system based on a plurality of simultaneous and discrete control actions that place mass at predetermined locations within the rotating system so as to achieve balance is disclosed. A balance control algorithm may be utilized to provide a desired control action regarding an amount of mass to be placed, the extent each discrete action contributes, and the location of placement on the rotating system. The control action is broken down into subsets of discrete actuator steps whose whole will accomplish the desired control action. The composition of the actuator step subsets is based on particular ratios and limits and evolve based on the portion of the action already accomplished. A plurality of control actuators is simultaneously activated to deploy the discrete control actuator actions that place mass at predetermined locations within the rotating system. The subsets of discrete control actuator actions can be applied in a manner that most closely resembles a continuous placement of mass so as to smoothly place the rotating system in a balanced state, thereby mechanizing simultaneous and discrete control actuations within the rotating system."
US-6680874-B1,"A method and circuitry for a delay lock loop useful in synchronizing the accessing of a memory array with a system clock is disclosed. In a preferred embodiment, the delay lock loop includes a variable delay element. The delay of the variable delay element is initially set to a minimum delay value. The system clock is then frequency divided and sent to the variable delay element, the output of which will ultimately be used to access the memory array in a synchronized manner with the system clock. The frequency divided clock and the output of the variable delay element are input to a phase detector, which creates a control signal for adjusting the delay of the variable delay element. After the signals are determined to be locked by the phase detector, an undivided clock signal version of the clock signal is sent to the variable delay element, and a frequency divided version of the output of the variable delay element is sent to the phase detector in lieu of the previous output of the variable delay element."
US-6843937-B1,"A composition for an organic EL element which can form a high precision pattern in a simple manner and in a short time and a method of manufacturing the organic EL element are disclosed. By using the composition, optimum film design and luminescence characteristic can be easily obtained, and an adjustment of a luminescence efficiency can also be easily performed. The composition for an organic EL element comprises a precursor of a conjugated organic polymer compound for forming at least one luminescent layer ( 106 ), ( 107 ), ( 108 ) having a certain color and at least one kind of fluorescent dye for changing the luminescence characteristic of the luminescent layer. The luminescent layer is made from a pattern formed by an ink-jet method. As for the precursor, a precursor of PPV, PPV derivative or the like is preferably used. Further, it is preferable that the composition for the organic EL element satisfies at least one of the conditions including a contact angle of 30 to 170 degrees with respect to a nozzle surface of a nozzle provided in a head of an ink-jet device used for the ink-jet method for discharging the composition, a viscosity of 1 to 20 cp and a surface tension of 20 to 70 dyne/cm."
US-6821744-B2,"A method for quantifying an HIV protease inhibitor in a sample includes combining HIV protease, a conjugate comprising an HIV protease inhibitor analog, and a sample suspected of containing an HIV protease inhibitor. The HIV protease and the conjugate are capable of forming a detectable complex. The method also includes measuring the amount of the detectable complex, and relating the amount of the detectable complex to a concentration of the HIV protease inhibitor in the sample."
US-6785292-B1,A method and system for determining a source radio frequency impairment in a data-over-cable system. The method includes ascertaining reference signal-to-noise ratios and comparing them to signal-to-noise ratios that are measured when the system is in operation. The signal-to-noise ratios are measured under different selections of which cable modems transmit. The method determines whether there are degradations on one or more upstream channel and correlates the degradations to identify the source of the impairment. The identification of impairments helps ensure that the source of impairment may be removed from the data-over-cable system to provide better overall performance.
US-6566964-B1,"Accumulator  201  accumulates data K (K: integer) for every clock and outputs a carry-out signal at the time of an overflow. Random signal generator  202  outputs a random signal for every clock. Adder  203  adds the carry-out signal and random signal to data M (M: integer), changes the frequency dividing ratio randomly and converts spurious to white noise. This makes it possible to optimally maintain the spurious characteristic, shorten the lockup time and reduce power consumption."
US-7262562-B2,"A method for driving a fluorescent lamp and an inverter circuit for performing the same are used to reduce an amount of electromagnetic interference (EMI) generated by a transformer and an instantaneous loading of a DC voltage source. The inverter circuit comprises a DC square wave voltage source, a bridge DC/AC converter, a transformer, a feedback control unit and a voltage control circuit wherein the voltage control circuit is coupled to the DC voltage source, the bridge DC/AC converter and the feedback control unit. The voltage control circuit is used to convert DC voltage provided by the DC voltage source into a two-level DC square wave, which in turn converts the two-level DC square wave into an AC quasi-sine wave to drive the fluorescent lamp through the bridge DC/AC converter and the transformer. The feedback control unit generates signals to control the voltage control circuit and the bridge DC/AC converter."
US-6738223-B2,A thin-film magnetic head has a lower magnetic pole section including a front portion close to a face of the head opposing a recording medium. The front portion has side faces flush with side faces of an upper magnetic core layer formed above the lower magnetic pole section. The lower magnetic pole section does not protrude from the sides of the upper magnetic pole layer. A gap depth defining layer is formed above the lower magnetic core layer and under the upper magnetic pole layer below the upper core layer. Side faces of the gap depth defining layer and the lower magnetic pole section are flush with side faces of the upper magnetic pole layer and/or the upper core layer in the track width direction.
US-6913645-B2,"A combination of compositions, products and methods of producing a new type of cement. The cementitious material is created by adding sodium carbonate (also known as soda ash, trona, natron, sodium carbonate decahydrate, sodium carbonate anhydrous, etc.) and one or more rocks or minerals selected from the following—granite, basalt, sandstone or schist. A new method and product are claimed by combining sodium carbonate and one or more rocks or minerals selected from the following—granite, basalt, sandstone or schist and water. The combination of sodium carbonate and one or more rocks or minerals selected from the granite, basalt, sandstone or schist group can be either layered or mixed in a dry or wet state. An exothermic reaction starts after the addition of water to the cementitious material. The composition of the cementitious material can vary between  10 % sodium carbonate and  90 % of one or more rocks or minerals selected from the granite, basalt, sandstone or schist group to  90 % sodium carbonate and  10 % of one or more rocks or minerals selected from the granite, basalt, sandstone or schist group. Organic or inorganic additives may be added to the mixture to enhance the composition and/or the final hardened product. The cementitious material or products can be used in a variety of applications not inclusive of forming bricks, interior architecture, table or counter tops, ornaments, repairing damaged cement products, casting, bioabsorbable devices, extruded products, sprayed products, filler, grout, mortar, gunnite, moulded products, composites, cast stonework, agglomerated stone, concrete, hardened products, electronics, packaging and other applications not mentioned above."
US-6458492-B1,"Process for determining a mask for changing a brightness profile of a photographic copy with the following steps: photographic image data are derived from photographically recorded image information; optimized image data are obtained by correction of the photographic image data, wherein errors which were created to during the photographic recording of the image information are considered; a brightness mask, the values of which embody an influencing of the brightness profile of the photographic copy is determined based on the optimized image data."
US-7077727-B2,"Abrasive composition for the chemical-mechanical polishing in one stage of substrates used in the microelectronics semiconductors industry containing at least one metal layer and one insulator layer, comprising an acid aqueous suspension of individualized particles of colloidal silica, not linked to each other by siloxane bonds, having a mean particle diameter of between 5 and 20 nm and an oxidizing agent, and chemical-mechanical polishing process using such a composition."
US-6756096-B2,"A supply of sheet stock material for use in a cushioning conversion machine is disclosed. The supply of stock material includes at least one ply of sheet stock material rolled or folded into a compact configuration such as a roll of wound stock material or a stack of fan-folded stock material. The ply has disposed on a leading or trailing end thereof, a pressure sensitive adhesive layer and a removable release liner covering the pressure sensitive adhesive layer. When a supply of sheet stock material is almost spent, a succeeding supply of stock material may be spliced to the almost spent supply by removing the release liner to expose the adhesive and then applying the leading or trailing end, having the adhesive thereon, to a trailing end of the almost spent supply of stock material or leading end of the succeeding supply of stock material."
US-6750281-B2,"A golf ball and a method of manufacturing thereof are provided, the golf ball having a core containing a Mg vulcanized rubber powder crosslinked by a magnesium salt of an unsaturated carboxylic acid and another vulcanized rubber powder crosslinked by a co-crosslinking agent other than the magnesium salt of the unsaturated carboxylic acid. Preferably, the ratio α/β between the content α of the Mg vulcanized rubber powder and the content β of another vulcanized rubber powder is 1/4 to 4, and the total content α+β of the vulcanized rubber powders based on 100 parts by mass of a base rubber of the core is 5 to 30 parts by mass."
US-7221297-B2,"A D/A converter in which distortion caused by PWM is favorably removed even if a sampling frequency is low relative to a signal frequency is provided. The D/A converter includes a pulse-width-modulated-signal outputting circuit for outputting a pulse-width-modulated signal having a pulse width in accordance with a digital value of an input digital signal. A distortion-correcting-component generating circuit ( 3 ) for generating from the input digital signal at least a correcting component corresponding to a distortion component generated in the pulse-width-modulated-signal outputting circuit; a subtractor circuit ( 2 ) disposed at an upstream of the pulse-width-modulated-signal outputting circuit, for subtracting the correcting component generated by the distortion-correcting-component generating circuit from the input digital signal; and a phase correcting circuit ( 10 ) for correcting phase characteristics of the input digital signal so that the distortion component and the correcting component have a phase difference such that these components have opposite phases in the pulse-width-modulated-signal outputting circuit; are provided."
US-7285474-B2,"Air-gap insulated interconnection structures and methods of fabricating the structures, the methods including: forming a dielectric layer on a substrate; forming a capping layer on a top surface of the dielectric layer; forming a trench through the capping layer, the trench extending toward said substrate and into but not through, the dielectric layer; forming a sacrificial layer on opposing sidewalls of the trench; filling the trench with a electrical conductor; and removing a portion of the sacrificial layer from between the electrical conductor and the dielectric layer to form air-gaps."
US-6749769-B2,"The disclosed invention relates to novel crystalline compositions which may be obtained by doping the alpha (α) form of AlPO 4  ceramics, which find use as piezoelectric materials, stable supports for catalysts, biotechnology uses, and the like."
US-7124136-B2,"In a method for data processing in a multiple-database system, a fixed number of logical partitions are mapped to a number of physical databases. When a user of such system initiates a data query request, only one physical database is searched for data related to the user, even if the data is scattered among multiple databases."
US-7249912-B2,A temporary platform or roadway is created using one or a plurality of optionally connected support components to form a top surface upon which panels are placed. The support components are comprised of gabion containers having one or a plurality of compartments into which a filler material is inserted. The filler material can optionally be composed of a buoyant material such as expanded polystyrene to enable flotation. A method for constructing the roadway or platform of the present invention is also disclosed.
US-6718656-B2,"Described are shoes, orthodic appliances, and anatomic braces containing superelastic support members for enhanced performance. The superelastic supports provide dynamic response to deflection. As such, the superelastic supports incorporated in the soles of shoes enhance walking, running, jumping, kicking, or other motion involving the foot. The superelastic supports may be incorporated in the body of shoes to reinforce the ankle joint. The embodiments of the invention also provide superelastic supports in braces to reinforce or stabilize the knees, ankles, elbows, wrists, shoulders, back, neck, hips, or other anatomy commonly associated with a degree of twisting, rotation, bending, or other desired motion. The braces also intensify the motion of anatomic structures, apply a specific resistance at the joint to strengthen the muscles during training or rehabilitation, and/or immobilize or stabilize joints, bones, or other anatomic structures during healing of an injury."
US-6979711-B2,An improved emulsion polymerization process for producing an oil and water repellent finish for textiles wherein the improvement comprises polymerization in an aqueous solution containing 0.1 to 4.9% by weight of dipropylene-glycol monomethyl ether acetate or propylene glycol diacetate relative to water is disclosed.
US-6895650-B2,"A process for producing a spatially shaped carrier layer ( 3 ) which is of foil-like design from hard brittle material includes:
         providing a basic mold ( 1 ) having a spatially shaped surface,   depositing a material which is in the gas or liquid phase on the spatially shaped surface,   solidifying the material which has been deposited on the spatially shaped surface to form a hard brittle material layer ( 3 ), and   separating the hard brittle material layer ( 3 ) from the spatially shaped surface in order to obtain the carrier layer ( 3 ) which consists of hard brittle material."
US-7157199-B2,"A toner comprising toner particles comprising a first binder resin; a second binder resin different from said first binder resin and having a glass transition temperature of from 40 to 55° C.; a colorant; and a release agent, and a particulate resin material which is located on surface of the toner particles with a coverage of from 50 to 100%, and which has a glass transition temperature of from 50 to 90° C., wherein a weight ratio (W 2 /W 1 ) between the second binder resin (W 2 ) and the first binder resin (W 1 ) is from 5/95 to 40/60, and wherein a ratio (G′80/G′180) between a storage modulus of the toner at 80° C. (G′80) and a storage modulus at 180° C. (G′180) is from 100 to 1,000."
US-7289033-B2,A computed tomography assembly is provided comprising at least one clamped imaging component and a clamping fastener having a clamping head attached thereto. A load-sensing washer is positioned between the clamping head and the at least one clamped imaging component and includes a pressure sensor element in communication with a wireless transmitter transmitting a fastener load value. A wireless receiver is adapted to remotely receive the fastener load value and a processor in communication with the wireless receiver includes logic adapted to monitor the fastener load value in real time.
US-7279195-B2,"A method of forming a metal fine particle pattern including forming a polymerization initiation layer on a support, wherein a polymer which has, in its side chain, a cross-linking group and a functional group having the ability to initiate polymerization is fixed by a cross-linking reaction, forming a graft polymer region in a pattern on the surface of the polymerization initiation layer, wherein the graft polymer layer has the ability to contain a metal ion or a metal salt, adding a metal ion or a metal salt to the graft polymer layer, and thereafter reducing the metal ion or a metal ion in the metal salt to form a metal fine particle dispersion region; and a method of forming an electroconductive pattern using the method of forming a metal fine particle pattern."
US-6992613-B2,"An object detecting device is provided whereby the number and size of detected objects can be determined without making the construction of the device more complex and the cost of components higher. The object detecting device includes multiple transmitter-receivers for transmitting radio waves and receiving reflected waves, each of the transmitter-receivers receiving both a reflected wave of a radio wave transmitted by itself and reflected waves of radio waves transmitted by other transmitter-receivers, a path-by-path reception distance computing unit for computing the path-by-path reception distance of every reflected wave and an object determination element for determining the number and/or size of detected objects based on the relationship between the reception distances computed by the path-by-path reception distance computing unit."
US-7241501-B2,An iron nitride magnetic powder comprised primarily of Fe 16 N 2  phase is characterized in that its coercive force Hc is 200 KA/m or greater and bulk switching field distribution BSDF is 2 or less. The magnetic powder can be produced by allowing a nitriding reaction of Fe particles with a nitrogen-containing gas for producing nitrided particles of primarily Fe 16 N 2  phase to proceed under an increased pressure of 0.1 MPa or greater. The enhanced properties of the iron nitride magnetic powder make it suitable as a magnetic material for high-density magnetic recording media.
